"",
Data as reported by 10AM CET 23 February 2020*,
"HIGHLIGHTS•No new countries reported cases of COVID-19 in the past 24 hours.",,"SITUATION IN NUMBERStotal and new cases in last 24hoursGlobally78 811 confirmed (1017 new)China77 042 confirmed (650 new)2445 deaths (97 new)Outside of China1769 confirmed (367 new)28 countries17 deaths (6 new)WHO RISK ASSESSMENTChinaVery HighRegional LevelHighGlobal LevelHigh"
"",,
"",*The situation report includes information provided by national authorities as of 10 AM Central European Time,
"",,
"",,
Cumulative Province/  Daily,
Population,
Region/,
"(10,000s)",
Confirmed Suspected,Confirmed
City cases cases,Deaths cases Deaths
"",
Hubei 5917 630 631,96 64084 2346
Guangdong 11346 3 0,1 1342 6
Henan 9605 1 12,0 1271 19
Zhejiang 5737 0 2,0 1205 1
Hunan 6899 3 0,0 1016 4
Anhui 6324 0 0,0 989 6
Jiangxi 4648 0 0,0 934 1
Shandong 10047 4 2,0 754 4
Jiangsu 8051 0 0,0 631 0
Chongqing 3102 1 21,0 573 6
Sichuan 8341 0 15,0 526 3
Heilongjiang 3773 1 0,0 480 12
Beijing 2154 0 35,0 399 4
Shanghai 2424 1 52,0 335 3
Hebei 7556 2 0,0 311 6
Fujian 3941 0 0,0 293 1
Guangxi 4926 0 12,0 249 2
Shaanxi 3864 0 2,0 245 1
Yunnan 4830 0 11,0 174 2
Hainan 934 0 14,0 168 4
Guizhou 3600 0 0,0 146 2
Tianjin 1560 2 51,0 135 3
Shanxi 3718 0 1,0 132 0
Liaoning 4359 0 13,0 121 1
Jilin 2704 0 7,0 91 1
Gansu 2637 0 0,0 91 2
Xinjiang 2487 0 0,0 76 2
Inner Mongolia 2534 0 0,0 75 0
Ningxia 688 0 1,0 71 0
Hong Kong SAR 745 2 0,0 70 2
Taipei and environs 2359 0 0,0 26 1
Qinghai 603 0 0,0 18 0
Macao SAR 66 0 0,0 10 0
Xizang 344 0 0,0 1 0
Total 142823 650 882,97 77042 2445
"",,,Likely place of exposure†,,
"",,,Outside,,
"",Confirmed  *,,In,Total cases with site of,Total
Country/Territory/Area,cases (new),,reporting China country and reporting,transmission under,deaths
"",,,(new) country,investigation (new),(new)
"",,,outside,,
"",,,(new),,
"",,,China (new),,
Western Pacific Region,,,,,
Republic of Korea,602 (256),,13 (0) 4 (0) 353 (65),232 (191),5 (3)
Japan,132 (27),,28 (0) 5 (0) 92 (24),7 (3),1 (0)
Singapore,89 (3),,24 (1) 0 (0) 58 (2),7 (0),0 (0)
Australia,22 (1),,12 (0) 7 (1) 3 (0),0 (0),0 (0)
Malaysia,22 (0),,17 (0) 1 (0) 2 (0),2 (0),0 (0)
Viet Nam,16 (0),,8 (0) 0 (0) 8 (0),0 (0),0 (0)
Philippines,3 (0),,3 (0) 0 (0) 0 (0),0 (0),1 (0)
Cambodia,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
South-East Asia Region,,,,,
Thailand,35 (0),,23 (0) 0 (0) 5 (0),7 (0),0 (0)
India,3 (0),,3 (0) 0 (0) 0 (0),0 (0),0 (0)
Nepal,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
Sri Lanka,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
Region of the Americas,,,,,
United States of,,,,,
America,35 (0),,14 (0) 18 (0) 2 (0),1 (0),0 (0)
Canada,9 (1),,7 (0) 1 (1) 0 (0),1 (0),0 (0)
European Region,,,,,
Italy,76 (67),,3 (0) 0 (0) 9 (3),64 (64),2 (2)
Germany,16 (0),,2 (0) 0 (0) 14 (0),0 (0),0 (0)
France,12 (0),,5 (0) 0 (0) 7 (0),0 (0),1 (0)
The United Kingdom,9 (0),,2 (0) 6 (0) 1 (0),0 (0),0 (0)
Russian Federation,2 (0),,2 (0) 0 (0) 0 (0),0 (0),0 (0)
Spain,2 (0),,0 (0) 2 (0) 0 (0),0 (0),0 (0)
Belgium,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
Finland,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
Israel,1 (0),,0 (0) 1 (0) 0 (0),0 (0),0 (0)
Sweden,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
Eastern Mediterranean Region,,,,,
Iran (Islamic Republic of),28 (10),,0 (0) 0 (0) 18 (0),10 (10),5 (1)
United Arab Emirates,13 (2),,6 (0) 2 (2) 5 (0),0 (0),0 (0)
Egypt,1 (0),,0 (0) 0 (0) 1 (0),0 (0),0 (0)
Lebanon,1 (0),,0 (0) 1 (0) 0 (0),0 (0),0 (0)
"",,,,,
Subtotal for all regions,1135 (367),,178 (1) 48 (4) 578 (94),331 (268),15 (6)
International,,,,,
conveyance‡ (Diamond,,,,,
Princess),634 (0),,0 (0) 0 (0) 0 (0),634 (0),2 (0)
Grand total,1769 (367),,178 (1) 48 (4) 578 (94),965 (268),17 (6)
