Province/Region/City,Confirmed Cases
Hubei,29631
Guangdong,1151
Zhejiang,1104
Henan,1073
Hunan,879
Anhui,830
Jiangxi,771
Jiangsu,492
Chongqing,468
Shandong,459
Sichuan,405
Beijing,337
Heilongjiang,331
Shanghai,295
Fujian,261
Hebei,218
Shaanxi,213
Guangxi,210
Yunnan,141
Hainan,136
Shanxi,119
Guizhou,109
Liaoning,107
Tianjin,91
Gansu,85
Jilin,80
Inner Mongolia,58
Ningxia,49
Xinjiang,49
Hong Kong SAR,36
Qinghai,18
Taipei and environs,18
Macao SAR,10
Xizang,1
Total,40 235
"",,,Total Total cases with,T otal cases with,
"",,,cases with possible or,site of,
"",,Confirmed*,travel confirmed,transmission,Total deaths
WHO Region,Country/Territory/Area,,,,
"",,cases (new),history to transmission,under,(new)
"",,,China outside of China†,investigation,
"",,,(new) (new),(new),
"",China‡,40 235 (3073),,,909 (97)
"",Singapore,43 (3),21 (0) 22 (3),0 (0),0 (0)
Western Pacific Region,,,,,
0 (0),Republic of Korea,27 (0),13 (0) 12 (0),2 (0),
"",Japan,26 (0),22 (0) 4 (0),0 (0),0 (0)
"",Malaysia,18 (1),10 (1) 4 (0),4 (0),0 (0)
"",Australia,15 (0),15 (0) 0 (0),0 (0),0 (0)
"",,,,,
"",Viet Nam,14 (0),8 (0) 6 (0),0 (0),0 (0)
"",,,,,
"",Philippines,3 (0),2 (0) 0 (0),1 (0),1 (0)
"",Cambodia,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",Thailand,32 (0),22 (0) 6 (0),4 (0),0 (0)
"",India,3 (0),3 (0) 0 (0),0 (0),0 (0)
South-East Asia Region,,,,,
"",Nepal,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",Sri Lanka,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",United States of,,,,
Region of the Americas America,,12 (0),10 (0) 2 (0),0 (0),0 (0)
"",Canada,7 (0),6 (0) 0 (0),1 (0),0 (0)
"",Germany,14 (0),2 (0) 12†† (0),0 (0),0 (0)
"",France,11 (0),5 (0) 6 (0),0 (0),0 (0)
"",The United Kingdom,4 (1),1 (0) 3*** (1),0 (0),0 (0)
"",Italy,3 (0),3 (0) 0 (0),0 (0),0 (0)
European Region,Russian Federation,2 (0),2 (0) 0 (0),0 (0),0 (0)
"",Spain,2 (1),0 (0) 2§ (1),0 (0),0 (0)
"",Belgium,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",Finland,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",Sweden,1 (0),1 (0) 0 (0),0 (0),0 (0)
Eastern Mediterranean,,,,,
Region,United Arab Emirates,7 (0),6 (0) 1 (0),0 (0),0 (0)
International Other,,,,,
"",conveyance (Japan),70** (6),0 (0) 0 (0),70 (6),0 (0)
