"",
WHO launched a checklist to support prison administrators and policy-makers for rapid and effective,
response to COVID-19.,
WHO is supporting several African countries to coordinate and reinforce the work of emergenc,
medical teams (EMTs) deployed to support the efforts to contain the spread of COVID-19 pandemic,
"The WHO Regional Director for Europe, Dr. Hans Henri P. Kluge stated his concern about the increase in"
"interpersonal violence during COVID-19, and emphasized that “violence is preventable, not inevitable”."
At the third meeting of the International Health Regulations (IHR) (2005) Emergency Committee for
"COVID-19, the WHO Director-General reaffirmed that the outbreak of COVID-19 continues to constitute"
a public health emergency of international concern and issued the Committee’s advice to States Parties
as Temporary Recommendations under the IHR. See ‘Subject in Focus’ below.
Today we celebrate the 40th anniversary of the Declaration of Smallpox Eradication by the 33rd World
"Health Assembly. In the ‘Subject in Focus’ below, we look at how the global community came together"
to eradicate one of the most feared diseases of all time and how we can learn from this experience to
fight COVID-19 today.
""
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,8232,424,161,8,Community transmission,0
Algeria,5182,185,483,7,Community transmission,0
Nigeria,3526,381,107,4,Community transmission,0
Ghana,3091,372,18,0,Clusters of cases,0
Cameroon,2265,0,108,0,Clusters of cases,2
Guinea,1927,71,11,0,Community transmission,0
Côte d’Ivoire,1571,55,20,2,Clusters of cases,0
Senegal,1492,59,13,1,Clusters of cases,0
Democratic Republic of the,,,,,,
Congo,897,100,36,1,Clusters of cases,0
Niger,781,11,42,4,Clusters of cases,0
Burkina Faso,736,7,48,0,Community transmission,0
Mali,650,19,32,0,Clusters of cases,0
Kenya,607,25,29,3,Clusters of cases,0
United Republic of Tanzania,509,29,21,3,Clusters of cases,0
Guinea-Bissau,508,0,2,0,Sporadic cases,1
Gabon,504,107,8,2,Clusters of cases,0
Equatorial Guinea,439,0,4,0,Clusters of cases,2
Mauritius,332,0,10,0,Community transmission,11
Congo,274,10,10,0,Clusters of cases,0
Rwanda,271,3,0,0,Clusters of cases,0
Chad,253,83,27,10,Sporadic cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Sierra Leone,231,6,14,0,Clusters of cases,0
Cabo Verde,218,27,2,0,Sporadic cases,0
Madagascar,193,0,0,0,Clusters of cases,1
Ethiopia,191,29,4,0,Clusters of cases,0
Liberia,189,11,20,0,Clusters of cases,0
São Tomé and Príncipe,165,-9,4,1,Sporadic cases,0
Eswatini,153,30,2,0,Sporadic cases,0
Zambia,153,14,4,0,Sporadic cases,0
Benin,140,38,2,0,Sporadic cases,0
Togo,135,7,9,0,Clusters of cases,0
Uganda,101,3,0,0,Sporadic cases,0
Central African Republic,94,0,0,0,Sporadic cases,3
South Sudan,90,32,0,0,Sporadic cases,0
Mozambique,81,0,0,0,Sporadic cases,1
Malawi,43,0,3,0,Sporadic cases,1
Eritrea,39,0,0,0,Sporadic cases,19
Angola,36,0,2,0,Sporadic cases,2
Zimbabwe,34,0,4,0,Sporadic cases,6
Botswana,23,0,1,0,Sporadic cases,9
Burundi,19,0,1,0,Sporadic cases,5
Gambia,18,1,1,0,Sporadic cases,0
Namibia,16,0,0,0,Sporadic cases,32
Seychelles,11,0,0,0,Sporadic cases,31
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Comoros,8,0,1,,0,Pending,1
Mauritania,8,0,1,,0,Sporadic cases,7
Territoriesii,,,,,,,
Mayotte,854,115,10,,1,Clusters of cases,0
Réunion,427,2,0,,0,Clusters of cases,0
Americas,,,,,,,
United States of America,1 215 571,22 119,67 146,,1949,Community transmission,0
Brazil,125 218,10 503,8536,,615,Community transmission,0
Canada,63 895,1437,4280,,169,Community transmission,0
Peru,54 817,3628,1533,,89,Community transmission,0
Ecuador,30 298,878,1654,,36,Community transmission,0
Mexico,27 634,1609,2704,,197,Community transmission,0
Chile,24 581,1533,285,,4,Community transmission,0
Dominican Republic,9095,288,373,,11,Community transmission,0
Colombia,8959,346,397,,19,Community transmission,0
Panama,7731,208,218,,8,Community transmission,0
Argentina,5305,229,275,,11,Community transmission,0
Bolivia (Plurinational State of),1886,84,91,,5,Clusters of cases,0
Cuba,1729,26,73,,4,Clusters of cases,0
Honduras,1461,191,99,,6,Community transmission,0
Guatemala,798,35,21,,2,Clusters of cases,0
Costa Rica,761,6,6,,0,Clusters of cases,0
El Salvador,695,62,15,,1,Clusters of cases,0
Uruguay,673,3,17,,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Jamaica,478,5,9,,0,Clusters of cases,0
Paraguay,462,22,10,,0,Community transmission,0
Venezuela (Bolivarian Republic,,,,,,,
of),379,12,10,,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,,0,Sporadic cases,10
Haiti,108,7,12,,0,Clusters of cases,0
Guyana,93,0,10,,0,Clusters of cases,1
Bahamas,92,3,11,,0,Clusters of cases,0
Barbados,82,0,7,,0,Clusters of cases,3
Antigua and Barbuda,25,0,3,,0,Clusters of cases,4
Grenada,21,0,0,,0,Clusters of cases,4
Belize,18,0,2,,0,Sporadic cases,23
Saint Lucia,18,0,0,,0,Sporadic cases,3
Saint Vincent and the,,,,,,,
Grenadines,17,0,0,,0,Sporadic cases,3
Dominica,16,0,0,,0,Clusters of cases,27
Nicaragua,16,0,5,,0,Pending,1
Saint Kitts and Nevis,15,0,0,,0,Sporadic cases,17
Suriname,10,0,1,,0,Sporadic cases,34
Territoriesii,,,,,,,
Puerto Rico,2031,63,56,,0,Clusters of cases,0
Martinique,182,0,14,,0,Clusters of cases,1
Guadeloupe,153,0,13,,0,Clusters of cases,1
French Guiana,138,0,1,,0,Clusters of cases,1
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Bermuda,118,3,7,,0,Clusters of cases,0
Aruba,101,0,2,,0,Clusters of cases,2
Cayman Islands,78,0,1,,0,Clusters of cases,1
Sint Maarten,76,0,14,,0,Clusters of cases,7
United States Virgin Islands,66,0,4,,0,Clusters of cases,7
Saint Martin,38,0,3,,0,Sporadic cases,15
Curaçao,16,0,1,,0,Sporadic cases,10
Falkland Islands (Malvinas),13,0,0,,0,Clusters of cases,12
