Data as reported by 12 February 2020*
""
""
HIGHLIGHTS SITUATION IN NUMBERS
total and new cases in last 24
• No new countries reported cases of COVID-19 in the past 24 hours.  hours
""
• WHO has published key considerations for repatriation and quarantine of Globally
travellers in relation to COVID-19. More information can be found here.  45 171 confirmed (2068 new)
""
• The UN activated a Crisis Management Team (CMT) on the COVID-19 China
"outbreak, to be led by WHO. The WHO Director-General nominated Dr Mike 44 730 confirmed (2022 new)"
"Ryan, Executive Director of WHO Health Emergencies Programme as the Crisis"
8204 severe (871 new)
"Manager. The CMT brings together WHO, OCHA, IMO (International Maritime"
1114 deaths (97 new)
"Organization), UNICEF, ICAO, WFP, FAO, the World Bank and several"
departments of the UN Secretariat. It held its first meeting yesterday via
teleconference. This mechanism will help WHO focus on the health response  Outside of China
"while the other agencies will bring their expertise to bear on the wider social, 441 confirmed (46 new)"
economic and developmental implications of the outbreak. Additional 24 countries
members will be included depending on the evolution of the outbreak and its 1 death
impact globally.
WHO RISK ASSESSMENT
• WHO has prepared a list of Q&A on infection prevention and control for
"Excluding China, there are 24 countries reporting cases of COVID-19. Among these 24 countries, 23 report cases with"
"an exposure in China. In addition, 11 of these 23 countries report cases attributed to local transmission inside the"
reporting country. Four of the 24 countries report cases where likely exposure occurred outside the reporting
country and outside of China. Among these four reporting countries the most likely countries where exposure
"occurred were France, Germany, Japan and Singapore (see map below). All transmissions occurred within known"
defined clusters.
Province/Region/City 1,,"Population (in 10,000s)",Confirmed Cases,Suspect Cases2,,Total Deaths
Hubei,,5917,33366,11295,,1068
Guangdong,,11346,1219,135,,1
Zhejiang,,5737,1131,263,,0
Henan,,9605,1135,538,,8
Hunan,,6899,946,135,,2
Anhui,,6324,889,79,,4
Jiangxi,,4648,844,155,,1
Jiangsu,,8051,543,62,,0
Chongqing,,3102,505,428,,3
Shandong,,10047,497,71,,1
Sichuan,,8341,436,432,,1
Heilongjiang,,3773,378,171,,8
Beijing,,2154,352,218,,3
Shanghai,,2424,306,177,,1
Fujian,,3941,272,74,,0
Hebei,,7556,251,43,,2
Shaanxi,,3864,225,367,,0
Guangxi,,4926,222,248,,1
Yunnan,,4830,154,89,,0
Hainan,,934,145,206,,3
Shanxi,,3718,124,65,,0
Guizhou,,3600,131,53,,1
Liaoning,,4359,111,287,,0
Tianjin,,1560,106,328,,2
Gansu,,2637,86,18,,2
Jilin,,2704,83,57,,1
Inner Mongolia,,2534,60,11,,0
Xinjiang,,2487,59,31,,0
Ningxia,,688,58,31,,0
Hong Kong SAR,,745,49,0,,1
Qinghai,,603,18,0,,0
Taipei and environs,,2359,18,0,,0
Macao SAR,,66,10,0,,0
Xizang,,344,1,0,,0
Total,,142823,44730,16067,,1114
"",,,Total Total cases with,T otal cases with,
"",,,cases with possible or,site of,
"",,Confirmed*,travel confirmed,transmission,Total deaths
WHO Region,Country/Territory/Area,,,,
"",,cases (new),history to transmission,under,(new)
"",,,China outside of China†,investigation,
"",,,(new) (new),(new),
"",China‡,44 730 (2022),,,1114 (97)
"",Singapore,47 (2),22 (0) 25 (2),0 (0),0 (0)
Western Pacific Region,,,,,
0 (0),Japan,28 (2),24 (2) 4 (0),0 (0),
"",Republic of Korea,28 (0),13 (0) 12§§ (0),3 (0),0 (0)
"",Malaysia,18 (0),15 (0) 3‡‡ (0),0 (0),0 (0)
"",Australia,15 (0),15 (0) 0 (0),0 (0),0 (0)
"",,,,,
"",Viet Nam,15 (0),8 (0) 7 (0),0 (0),0 (0)
"",,,,,
"",Philippines,3 (0),2 (0) 0 (0),1 (0),1 (0)
"",Cambodia,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",Thailand,33 (0),23 (0) 6††† (0),4 (0),0 (0)
"",India,3 (0),3 (0) 0 (0),0 (0),0 (0)
South-East Asia Region,,,,,
"",Nepal,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",Sri Lanka,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",United States of,,,,
Region of the Americas America,,13 (0),11 (0) 2 (0),0 (0),0 (0)
"",Canada,7 (0),6 (0) 0 (0),1 (0),0 (0)
"",Germany,16 (2),2 (0) 14 (2),0 (0),0 (0)
"",France,11 (0),5 (0) 6 (0),0 (0),0 (0)
"",The United Kingdom,8 (0),1 (0) 7*** (0),0 (0),0 (0)
"",Italy,3 (0),3 (0) 0 (0),0 (0),0 (0)
European Region,Russian Federation,2 (0),2 (0) 0 (0),0 (0),0 (0)
"",Spain,2 (0),0 (0) 2§ (0),0 (0),0 (0)
"",Belgium,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",Finland,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",Sweden,1 (0),1 (0) 0 (0),0 (0),0 (0)
Eastern Mediterranean,,,,,
Region,United Arab Emirates,8 (0),6 (0) 1 (0),1 (0),0 (0)
International Other,,,,,
"",conveyance (Japan),175** (40),0 (0) 1 (1),174 (39),0 (0)
