Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,43 434,2 642,908,60,Community transmission,0
Nigeria,11 844,328,333,10,Community transmission,0
Algeria,9 935,104,690,9,Community transmission,0
Ghana,9 168,283,42,4,Community transmission,0
Cameroon,7 392,603,205,2,Community transmission,0
Senegal,4 155,134,45,0,Community transmission,0
Guinea,4 060,69,23,0,Community transmission,0
Democratic Republic of the Congo,3 763,120,80,3,Community transmission,0
Côte d’Ivoire,3 431,169,36,1,Community transmission,0
Gabon,3 101,146,21,0,Community transmission,0
Kenya,2 474,134,79,1,Community transmission,0
Ethiopia,1 805,169,19,1,Clusters of cases,0
Mali,1 485,24,87,2,Community transmission,0
Central African Republic,1 451,163,4,0,Clusters of cases,0
Guinea-Bissau,1 368,22,12,3,Community transmission,0
South Sudan,1 317,0,14,0,Clusters of cases,2
Zambia,1 111,0,7,0,Community transmission,1
Equatorial Guinea,1 043,0,12,0,Community transmission,13
Madagascar,975,18,7,0,Clusters of cases,0
Niger,966,3,65,0,Community transmission,0
Sierra Leone,929,15,47,0,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Burkina Faso,885,0,53,0,Community transmission,1
Mauritania,883,99,43,4,Clusters of cases,0
Chad,836,8,68,2,Community transmission,0
Uganda,686,35,0,0,Sporadic cases,0
Congo,639,4,20,0,Community transmission,0
Cabo Verde,536,34,5,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,29
Togo,485,20,13,0,Community transmission,0
Rwanda,420,10,2,0,Sporadic cases,0
Malawi,409,16,4,0,Clusters of cases,0
Mozambique,352,0,2,0,Clusters of cases,1
Mauritius,337,2,10,0,Clusters of cases,0
Liberia,334,13,30,2,Community transmission,0
Eswatini,305,5,3,0,Clusters of cases,0
São Tomé and Príncipe,295,0,10,0,Clusters of cases,10
Zimbabwe,265,43,4,0,Sporadic cases,0
Benin,261,0,3,0,Community transmission,1
Angola,86,0,4,0,Clusters of cases,5
Burundi,63,0,1,0,Clusters of cases,5
Comoros,62,0,2,0,Community transmission,5
Eritrea,41,0,0,0,Sporadic cases,1
Botswana,40,0,1,0,Clusters of cases,3
Gambia,26,0,1,0,Sporadic cases,3
