Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,111 796,5 688,2 205,103,Community transmission,0
Nigeria,22 020,649,542,9,Community transmission,0
Ghana,15 013,445,95,0,Community transmission,0
Cameroon,12 270,229,313,5,Community transmission,0
Algeria,12 248,172,869,8,Community transmission,0
Côte d’Ivoire,8 164,260,58,0,Community transmission,0
Democratic Republic of the Congo,6 212,186,141,7,Community transmission,0
Senegal,6 129,95,93,4,Community transmission,0
Kenya,5 206,254,130,2,Community transmission,0
Guinea,5 174,70,29,0,Community transmission,0
Ethiopia,5 034,186,78,3,Community transmission,0
Gabon,4 956,107,39,0,Community transmission,0
Mauritania,3 292,171,114,2,Clusters of cases,0
Central African Republic,3 051,0,37,0,Community transmission,1
Mali,2 005,27,113,2,Community transmission,0
South Sudan,1 930,14,36,1,Clusters of cases,0
Madagascar,1 787,147,16,1,Clusters of cases,0
Guinea-Bissau,1 556,0,19,0,Community transmission,2
Zambia,1 489,12,18,0,Community transmission,0
Sierra Leone,1 354,7,56,1,Community transmission,0
Congo,1 141,0,37,0,Community transmission,1
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Niger,1 056,5,67,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,32
Cabo Verde,999,16,8,0,Clusters of cases,0
Burkina Faso,934,31,53,0,Community transmission,0
Benin,902,52,13,0,Community transmission,0
Chad,860,0,74,0,Community transmission,1
Malawi,848,45,11,0,Clusters of cases,0
Rwanda,830,32,2,0,Sporadic cases,0
Uganda,805,8,0,0,Sporadic cases,0
Mozambique,762,5,5,0,Clusters of cases,0
Eswatini,690,16,7,0,Clusters of cases,0
Liberia,662,10,34,0,Community transmission,0
Togo,576,0,13,0,Community transmission,1
Zimbabwe,530,5,6,0,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,48
Sao Tome and Principe,388,0,10,0,Clusters of cases,7
Mauritius,341,1,10,0,Clusters of cases,0
Comoros,265,0,7,0,Community transmission,1
Angola,197,8,10,0,Clusters of cases,0
Burundi,144,0,1,0,Clusters of cases,4
Eritrea,144,1,0,0,Sporadic cases,0
Botswana,125,36,1,0,Clusters of cases,0
Namibia,76,4,0,0,Sporadic cases,0
