Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,7439,219,148,10,Community transmission,0
Algeria,4838,190,470,5,Community transmission,0
Nigeria,2950,148,98,5,Community transmission,0
Ghana,2719,0,18,0,Clusters of cases,1
Cameroon,2265,188,108,44,Clusters of cases,0
Guinea,1811,101,10,1,Community transmission,0
Côte d’Ivoire,1464,32,18,1,Clusters of cases,0
Senegal,1329,58,11,1,Clusters of cases,0
Niger,763,8,38,1,Clusters of cases,0
Democratic Republic of the,,,,,,
Congo,705,23,34,0,Clusters of cases,0
Burkina Faso,689,17,48,2,Community transmission,0
Mali,612,32,32,3,Clusters of cases,0
Kenya,535,45,23,-1,Clusters of cases,0
United Republic of Tanzania,480,0,18,0,Clusters of cases,6
Equatorial Guinea,439,124,4,2,Clusters of cases,0
Gabon,397,30,6,0,Clusters of cases,0
Mauritius,332,0,10,0,Community transmission,9
Guinea-Bissau,292,0,2,0,Sporadic cases,2
Rwanda,261,0,0,0,Clusters of cases,1
Congo,236,0,10,0,Clusters of cases,1
Sierra Leone,199,21,11,2,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Cabo Verde,186,21,2,,0,Sporadic cases,0
São Tomé and Príncipe,171,10,3,,0,Sporadic cases,0
Chad,170,53,17,,7,Sporadic cases,0
Liberia,170,4,20,,2,Clusters of cases,0
Madagascar,158,0,0,,0,Clusters of cases,1
Ethiopia,145,5,4,,1,Clusters of cases,0
Zambia,137,0,4,,1,Sporadic cases,1
Togo,128,2,9,,0,Clusters of cases,0
Eswatini,119,3,1,,0,Sporadic cases,0
Benin,102,6,2,,0,Sporadic cases,0
Uganda,97,8,0,,0,Sporadic cases,0
Central African Republic,94,0,0,,0,Sporadic cases,1
Mozambique,80,0,0,,0,Sporadic cases,2
South Sudan,49,0,0,,0,Sporadic cases,1
Malawi,41,0,3,,0,Sporadic cases,1
Eritrea,39,0,0,,0,Sporadic cases,17
Angola,36,1,2,,0,Sporadic cases,0
Zimbabwe,34,0,4,,0,Sporadic cases,4
Botswana,23,0,1,,0,Sporadic cases,7
Burundi,19,0,1,,0,Sporadic cases,3
Gambia,17,0,1,,0,Sporadic cases,3
Namibia,16,0,0,,0,Sporadic cases,30
Seychelles,11,0,0,,0,Sporadic cases,29
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Mauritania,8,0,1,,0,Sporadic cases,5
Comoros,4,0,1,,0,Pending,1
Territoriesii,,,,,,,
Mayotte,739,53,9,,3,Clusters of cases,0
Réunion,425,1,0,,0,Clusters of cases,0
Americas,,,,,,,
United States of America,1 171 185,16 200,62 698,,792,Community transmission,0
Brazil,107 780,6633,7321,,296,Community transmission,0
Canada,61 159,1315,3915,,149,Community transmission,0
Peru,47 372,1444,1344,,58,Community transmission,0
Ecuador,31 881,0,1569,,0,Community transmission,1
Mexico,24 905,1434,2271,,117,Community transmission,0
Chile,22 016,1373,275,,5,Community transmission,0
Dominican Republic,8480,245,354,,8,Community transmission,0
Colombia,7973,305,358,,18,Community transmission,0
Panama,7387,190,203,,3,Community transmission,0
Argentina,4922,123,262,,12,Community transmission,0
Cuba,1685,17,69,,0,Clusters of cases,0
Bolivia (Plurinational State of),1681,87,82,,6,Clusters of cases,0
Honduras,1178,123,89,,7,Clusters of cases,0
Costa Rica,742,3,6,,0,Clusters of cases,0
Guatemala,730,27,19,,2,Clusters of cases,0
Uruguay,657,2,17,,0,Clusters of cases,0
El Salvador,587,32,13,,1,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Jamaica,471,2,9,,0,Clusters of cases,0
Paraguay,431,35,10,,0,Community transmission,0
Venezuela (Bolivarian Republic,,,,,,,
of),361,4,10,,0,Clusters of cases,0
Trinidad and Tobago,116,0,8,,0,Sporadic cases,8
Haiti,100,12,11,,2,Clusters of cases,0
Guyana,92,10,9,,0,Clusters of cases,0
Bahamas,84,1,11,,0,Clusters of cases,0
Barbados,82,0,7,,0,Clusters of cases,1
Antigua and Barbuda,25,0,3,,0,Clusters of cases,2
Grenada,21,0,0,,0,Clusters of cases,2
Belize,18,0,2,,0,Sporadic cases,21
Saint Lucia,18,0,0,,0,Sporadic cases,1
Saint Vincent and the,,,,,,,
Grenadines,17,0,0,,0,Sporadic cases,1
Dominica,16,0,0,,0,Clusters of cases,25
Nicaragua,15,0,5,,0,Pending,1
Saint Kitts and Nevis,15,0,0,,0,Sporadic cases,15
Suriname,10,0,1,,0,Sporadic cases,32
Territoriesii,,,,,,,
Puerto Rico,1924,81,56,,2,Clusters of cases,0
Martinique,181,0,14,,0,Clusters of cases,2
Guadeloupe,152,0,13,,1,Clusters of cases,5
French Guiana,133,0,1,,0,Clusters of cases,1
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Bermuda,115,0,7,,0,Clusters of cases,2
Aruba,101,1,2,,0,Clusters of cases,0
Sint Maarten,76,0,14,,1,Clusters of cases,5
Cayman Islands,75,1,1,,0,Clusters of cases,0
United States Virgin Islands,66,0,4,,0,Clusters of cases,5
Saint Martin,38,0,3,,0,Sporadic cases,13
Curaçao,16,0,1,,0,Sporadic cases,8
Falkland Islands (Malvinas),13,0,0,,0,Clusters of cases,10
Turks and Caicos Islands,12,0,1,,0,Sporadic cases,8
Montserrat,11,0,1,,0,Sporadic cases,22
British Virgin Islands,7,1,1,,0,Sporadic cases,0
"Bonaire, Sint Eustatius and",,,,,,,
Saba,6,0,0,,0,Sporadic cases,8
Saint Barthélemy,6,0,0,,0,Sporadic cases,36
Anguilla,3,0,0,,0,Sporadic cases,32
Saint Pierre and Miquelon,1,0,0,,0,Sporadic cases,28
Eastern Mediterranean,,,,,,,
Iran (Islamic Republic of),99 970,1323,6340,,63,Community transmission,0
Saudi Arabia,30 251,1595,200,,9,Clusters of cases,0
Pakistan,22 533,1032,526,,40,Clusters of cases,0
Qatar,17 142,951,12,,0,Community transmission,0
United Arab Emirates,15 192,462,146,,9,Pending,0
Egypt,7201,388,452,,16,Clusters of cases,0
Kuwait,5804,526,40,,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Morocco,5219,166,181,2,Clusters of cases,0
Bahrain,3720,187,8,0,Clusters of cases,0
Afghanistan,3224,755,95,23,Clusters of cases,0
Oman,2903,168,13,1,Clusters of cases,0
Iraq,2431,85,102,4,Clusters of cases,0
Djibouti,1120,4,2,0,Clusters of cases,0
Tunisia,1022,4,43,0,Community transmission,0
Somalia,835,79,38,3,Sporadic cases,0
Sudan,778,100,45,4,Sporadic cases,0
Lebanon,741,1,25,0,Clusters of cases,0
Jordan,471,6,9,0,Clusters of cases,0
Libya,63,0,3,0,Clusters of cases,4
Syrian Arab Republic,44,0,3,0,Community transmission,4
Yemen,23,11,3,1,Pending,0
Territoriesii,,,,,,
occupied Palestinian territory,543,11,4,0,Clusters of cases,0
Europe,,,,,,
Spain,219 329,1318,25 613,185,Community transmission,0
Italy,213 013,1075,29 315,236,Community transmission,0
The United Kingdom,194 994,4406,29 427,693,Community transmission,0
Russian Federation,165 929,10 559,1537,86,Clusters of cases,0
Germany,164 897,1037,6996,165,Community transmission,0
France,131 292,1050,25491,326,Community transmission,0
Turkey,129 491,1832,3520,59,Community transmission,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Belgium,50 509,242,8016,92,Community transmission,0
Netherlands,41 087,317,5168,86,Community transmission,0
Switzerland,29 926,28,1482,6,Community transmission,0
Portugal,25 702,178,1074,11,Community transmission,0
