""
A newly-released WHO scientific brief summarizes the current evidence on the impact of angiotensin-
converting enzyme (ACE) inhibitors and receptor blockers on severe acute respiratory illness due to
COVID-19.
Pan American Health Organization and the United Nations Office for Project Services have published
"new guidelines on covid-19 prevention measures on construction projects, for workers to take"
measures to protect themselves from infection. The guidelines are only available in Spanish at this time.
"Due to a change in reporting system to align with figures published by the US CDC, counts for the United"
States of America were adjusted to 1 245 775 cases (-99 new cases) and 75 364 deaths (5475 new
deaths).
""
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,9420,525,186,8,Community transmission,0
Algeria,5558,189,494,6,Community transmission,0
Ghana,4263,251,22,4,Clusters of cases,0
Nigeria,4151,239,128,11,Community transmission,0
Cameroon,2335,70,110,2,Clusters of cases,0
Guinea,2042,33,11,0,Community transmission,0
Côte d’Ivoire,1667,65,21,1,Clusters of cases,0
Senegal,1634,83,17,4,Clusters of cases,0
Democratic Republic of the,,,,,,
Congo,991,54,41,2,Clusters of cases,0
Niger,815,20,45,1,Clusters of cases,0
Burkina Faso,748,12,48,0,Community transmission,0
Mali,692,24,37,2,Clusters of cases,0
Gabon,661,41,8,0,Clusters of cases,0
Kenya,649,28,30,1,Clusters of cases,0
Guinea-Bissau,642,134,3,1,Sporadic cases,0
United Republic of Tanzania,509,0,21,0,Clusters of cases,2
Equatorial Guinea,439,0,4,0,Clusters of cases,4
Mauritius,332,0,10,0,Community transmission,13
Chad,322,62,31,3,Sporadic cases,0
Sierra Leone,291,34,18,1,Clusters of cases,0
Congo,287,0,10,0,Clusters of cases,1
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Benin,284,42,2,,0,Sporadic cases,0
Rwanda,280,7,0,,0,Clusters of cases,0
Zambia,252,85,4,,0,Sporadic cases,0
Cabo Verde,236,6,2,,0,Sporadic cases,0
Ethiopia,210,16,5,,1,Clusters of cases,0
Liberia,199,0,20,,0,Clusters of cases,1
Madagascar,169,0,0,,0,Clusters of cases,1
São Tomé and Príncipe,165,-43,4,,-1,Sporadic cases,0
Eswatini,163,4,2,,0,Sporadic cases,0
Togo,153,8,10,,0,Clusters of cases,0
Central African Republic,143,49,0,,0,Sporadic cases,0
South Sudan,120,0,0,,0,Sporadic cases,1
Uganda,116,15,0,,0,Sporadic cases,0
Mozambique,87,5,0,,0,Sporadic cases,0
Malawi,56,13,3,,0,Sporadic cases,0
Angola,43,7,2,,0,Sporadic cases,0
Eritrea,39,0,0,,0,Sporadic cases,21
Zimbabwe,35,1,4,,0,Sporadic cases,0
Botswana,23,0,1,,0,Sporadic cases,11
Gambia,20,0,1,,0,Sporadic cases,1
Burundi,19,0,1,,0,Sporadic cases,7
Namibia,16,0,0,,0,Sporadic cases,34
Comoros,11,3,1,,0,Pending,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Seychelles,11,0,0,,0,Sporadic cases,33
Mauritania,8,0,1,,0,Sporadic cases,9
Territoriesii,,,,,,,
Mayotte,890,0,11,,0,Clusters of cases,1
Réunion,430,0,0,,0,Clusters of cases,1
Americas,,,,,,,
United States of America,1 245 775,-99,75 364,,5475,Community transmission,0
Brazil,145 328,10 222,9897,,751,Community transmission,0
Canada,66 780,1381,4628,,157,Community transmission,0
Peru,61 847,3321,1714,,87,Community transmission,0
Mexico,31 522,1906,3160,,199,Community transmission,0
Ecuador,28 818,-1480,1704,,50,Community transmission,0
Chile,27 219,1247,304,,10,Community transmission,0
Colombia,10 051,595,428,,21,Community transmission,0
Dominican Republic,9882,506,385,,5,Community transmission,0
Panama,8070,202,231,,6,Community transmission,0
Argentina,5680,150,297,,8,Community transmission,0
Bolivia (Plurinational State of),2266,185,106,,4,Clusters of cases,0
Honduras,1771,86,107,,2,Community transmission,0
Cuba,1754,13,74,,0,Clusters of cases,0
Guatemala,900,68,24,,1,Clusters of cases,0
El Salvador,784,42,16,,1,Clusters of cases,0
Costa Rica,773,8,6,,0,Clusters of cases,0
Uruguay,694,10,17,,0,Clusters of cases,0
