•,Overnight 14’840,"cases,",including 13’332,clinically,diagnosed,cases,were,24 countries
Data as reported by 13 February 2020*,
"",
"",
HIGHLIGHTS,SITUATION IN NUMBERS
"",total and new cases in last 24
Event,,Number of Confirmed,Date of report to WHO of
"",Countries Reporting,,
Number,,Cases,last case
"","France (5), Malaysia (3), Republic of Korea",,
1,"(2), Singapore (3), Spain (1), The United",20,10 Feb 2020
"",Kingdom (6),,
2,"Germany (14), Spain (1)",15,11 Feb 2020
3,Viet Nam (9),9,11 Feb 2020
4,Singapore (9),9,8 Feb 2020
Province/Region/City1,"Population (in 10,000s)",Confirmed Cases
Hubei,5917,34874
Guangdong,11346,1241
Zhejiang,5737,1145
Henan,9605,1169
Hunan,6899,968
Anhui,6324,910
Jiangxi,4648,872
Jiangsu,8051,570
Chongqing,3102,518
Shandong,10047,506
Sichuan,8341,451
Heilongjiang,3773,395
Beijing,2154,366
Shanghai,2424,313
Fujian,3941,279
Hebei,7556,265
Shaanxi,3864,229
Guangxi,4926,222
Yunnan,4830,155
Hainan,934,157
Shanxi,3718,126
Guizhou,3600,135
Liaoning,4359,116
Tianjin,1560,112
Gansu,2637,87
Jilin,2704,84
Inner Mongolia,2534,61
Xinjiang,2487,63
Ningxia,688,64
Hong Kong SAR,745,50
Qinghai,603,18
Taipei and environs,2359,18
Macao SAR,66,10
Xizang,344,1
Total,142823,46550
"",,,Total Total cases with,T otal cases with,
"",,,cases with possible or,site of,
"",,Confirmed*,travel confirmed,transmission,Total deaths
WHO Region,Country/Territory/Area,,,,
"",,cases (new),history to transmission,under,(new)
"",,,China outside of China†,investigation,
"",,,(new) (new),(new),
"",China‡,46 550 (1820),,,
"",Singapore,50 (3),22 (0) 28 (3),0 (0),0 (0)
Western Pacific Region,,,,,
0 (0),Japan,29†† (0),24 (0) 5 (0),0 (0),
"",Republic of Korea,28 (0),13 (0) 12§§ (0),3 (0),0 (0)
"",Malaysia,18 (0),15 (0) 3‡‡ (0),0 (0),0 (0)
"",Viet Nam,16 (1),8 (0) 8 (1),0 (0),0 (0)
"",,,,,
"",Australia,15 (0),15 (0) 0 (0),0 (0),0 (0)
"",,,,,
"",Philippines,3 (0),3 (0) 0 (0),0 (0),1 (0)
"",Cambodia,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",Thailand,33 (0),23 (0) 6 (0),4 (0),0 (0)
"",India,3 (0),3 (0) 0 (0),0 (0),0 (0)
South-East Asia Region,,,,,
"",Nepal,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",Sri Lanka,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",United States of,,,,
Region of the Americas America,,14 (1),12 (1) 2 (0),0 (0),0 (0)
"",Canada,7 (0),6 (0) 0 (0),1 (0),0 (0)
"",Germany,16 (0),2 (0) 14 (0),0 (0),0 (0)
"",France,11 (0),5 (0) 6 (0),0 (0),0 (0)
"",The United Kingdom,9 (1),2 (1) 7*** (0),0 (0),0 (0)
"",Italy,3 (0),3 (0) 0 (0),0 (0),0 (0)
European Region,Russian Federation,2 (0),2 (0) 0 (0),0 (0),0 (0)
"",Spain,2 (0),0 (0) 2§ (0),0 (0),0 (0)
"",Belgium,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",Finland,1 (0),1 (0) 0 (0),0 (0),0 (0)
"",Sweden,1 (0),1 (0) 0 (0),0 (0),0 (0)
Eastern Mediterranean,,,,,
Region,United Arab Emirates,8 (0),6 (0) 1 (0),1 (0),0 (0)
International Other,,,,,
"",conveyance (Japan),174** (0),0 (0) 0 (0),174 (0),0 (0)
